"Hreflang Tags","Hreflang Tags"
"Enable Hreflang Url","Enable Hreflang Url"
" Learn more <a href=""https://support.google.com/webmasters/answer/189077?hl=en"" target=""_blank"">Hreflang</a>"," Learn more <a href=""https://support.google.com/webmasters/answer/189077?hl=en"" target=""_blank"">Hreflang</a>"
"Enable For Product","Enable For Product"
"Enable For Category","Enable For Category"
"Enable For CMS Page","Enable For CMS Page"
"Use Language Code from Default Locale","Use Language Code from Default Locale"
"Language Code","Language Code"
X-Default,X-Default
