"Canonical URLs","Canonical URLs"
"Add Canonical URL Meta Header","Add Canonical URL Meta Header"
"Disable Canonical URL for Pages with NOINDEX robots","Disable Canonical URL for Pages with NOINDEX robots"
"Don't use Canonical URL for these pages","Don't use Canonical URL for these pages"
"Disable Canonical URL on these page.</br><b>Example:</b> catalogsearch_result_index </br><span style=""margin-left: 57px;"">catalogsearch_advanced_result</span>","Disable Canonical URL on these page.</br><b>Example:</b> catalogsearch_result_index </br><span style=""margin-left: 57px;"">catalogsearch_advanced_result</span>"
